pressure branch 0 node 0,pressure branch 0 node 1,pressure branch 1 node 0,pressure branch 1 node 1,pressure branch 2 node 0,pressure branch 2 node 1,pressure branch 3 node 0,pressure branch 3 node 1,pressure branch 4 node 0,pressure branch 4 node 1,pressure branch 5 node 0,pressure branch 5 node 1,pressure branch 6 node 0,pressure branch 6 node 1,
88516.41,84366.71,84571.47,76909.58,83479.10,76005.42,84756.95,79211.58,79423.29,77085.05,79623.77,77255.47,84746.97,76576.82
89084.94,85150.94,85386.31,77057.13,84223.19,76022.26,85518.57,79621.12,79942.92,77170.20,80145.92,77345.42,85590.25,76680.44
89508.19,85949.11,86214.87,77220.88,84996.59,76041.96,86273.37,80315.12,80769.04,77275.13,80970.75,77455.09,86449.45,76796.48
89815.87,86747.28,87039.06,77401.06,85787.97,76064.75,87009.08,81274.36,81874.72,77408.94,82075.46,77593.73,87306.49,76925.28
90032.49,87532.88,87841.62,77597.56,86585.45,76090.88,87717.29,82456.85,83204.09,77579.50,83410.33,77769.47,88144.14,77066.96
90203.51,88294.96,88607.64,77809.95,87377.45,76120.53,88393.65,83796.48,84677.97,77792.51,84903.13,77988.56,88947.69,77221.38
90367.86,89025.20,89325.65,78037.54,88153.39,76153.88,89037.13,85211.85,86202.03,78050.95,86465.86,78254.72,89705.86,77388.20
90558.27,89717.72,89987.97,78279.39,88904.25,76191.06,89648.49,86612.51,87676.67,78354.73,88003.14,78568.72,90411.27,77566.92
90812.34,90369.08,90590.94,78534.44,89623.01,76232.12,90228.93,87907.43,89007.20,78700.63,89421.47,78928.28,91060.54,77756.91
91148.16,90977.81,91134.33,78801.54,90304.76,76277.11,90778.82,89014.34,90113.30,79082.64,90638.46,79328.25,91653.73,77957.45
91589.42,91544.21,91620.96,79079.52,90946.87,76326.02,91297.18,89865.65,90936.73,79492.48,91591.10,79761.03,92193.89,78167.81
92141.88,92069.99,92055.87,79367.25,91548.91,76378.77,91781.78,90418.96,91446.48,79920.43,92242.05,80217.33,92686.29,78387.26
92797.33,92557.79,92445.55,79663.68,92112.28,76435.31,92229.42,90658.35,91641.26,80356.19,92583.39,80687.02,93137.48,78615.13
93544.77,93010.97,92797.22,79967.87,92639.97,76495.51,92636.52,90595.85,91549.16,80789.84,92637.30,81160.06,93554.73,78850.81
94356.42,93433.31,93118.28,80278.99,93136.07,76559.29,92999.62,90273.19,91224.64,81212.75,92453.54,81627.48,93945.31,79093.75
95207.09,93828.89,93415.90,80596.35,93605.42,76626.51,93315.81,89752.44,90743.33,81618.32,92104.08,82082.20,94316.23,79343.52
96056.83,94201.73,93696.61,80919.38,94053.07,76697.08,93582.94,89112.74,90194.84,82002.55,91675.60,82519.61,94673.77,79599.75
96875.09,94555.81,93966.13,81247.62,94483.97,76770.89,93799.90,88441.30,89674.24,82364.40,91260.58,82937.99,95023.27,79862.16
97627.40,94894.79,94229.08,81580.71,94902.58,76847.87,93967.12,87825.13,89272.73,82705.80,90948.03,83338.52,95368.93,80130.54
